QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
4,9:08.0,,Offensive rebound by L. Thomas,87,79
4,8:53.0,,Turnover by Team (shot clock),87,79
4,8:43.0,Turnover by J. Johnson (out of bounds lost ball),,87,79
4,8:43.0,,D. Dotson enters the game for D. Smith,87,79
4,8:29.0,,E. Mudiay misses 2-pt jump shot from 16 ft,87,79
4,8:27.0,Defensive rebound by G. Dragić,,87,79
4,8:17.0,J. Johnson misses 3-pt jump shot from 26 ft,,87,79
4,8:15.0,Offensive rebound by H. Whiteside,,87,79
4,8:12.0,H. Whiteside misses 2-pt hook shot from 4 ft (block by M. Robinson),,87,79
4,8:11.0,,Defensive rebound by Team,87,79
4,8:11.0,Loose ball foul by H. Whiteside (drawn by M. Robinson),,87,79
4,8:11.0,Technical foul by H. Whiteside,,87,79
4,8:11.0,,E. Mudiay makes technical free throw,87,80
4,7:57.0,,Turnover by D. Dotson (out of bounds lost ball),87,80
4,7:47.0,D. Wade misses 2-pt jump shot from 8 ft,,87,80
4,7:45.0,,Defensive rebound by M. Robinson,87,80
4,7:36.0,,M. Robinson makes 2-pt dunk from 2 ft (assist by L. Thomas),87,82
4,7:21.0,H. Whiteside makes 2-pt layup from 1 ft (assist by G. Dragić),,89,82
4,7:21.0,Shooting foul by K. Knox (drawn by H. Whiteside),,89,82
4,7:21.0,D. Waiters enters the game for D. Wade,,89,82
4,7:21.0,H. Whiteside misses free throw 1 of 1,,89,82
4,7:19.0,,Defensive rebound by L. Thomas,89,82
4,7:04.0,,Turnover by K. Knox (out of bounds lost ball),89,82
4,6:48.0,G. Dragić misses 3-pt jump shot from 26 ft,,89,82
4,6:46.0,,Defensive rebound by L. Thomas,89,82
4,6:41.0,,Personal foul by G. Dragić (drawn by E. Mudiay),89,82
4,6:29.0,,D. Dotson misses 3-pt jump shot from 25 ft,89,82
4,6:27.0,Defensive rebound by K. Olynyk,,89,82
4,6:23.0,Miami full timeout,,89,82
4,6:23.0,,L. Kornet enters the game for L. Thomas,89,82
4,6:13.0,D. Waiters misses 3-pt jump shot from 26 ft,,89,82
4,6:12.0,,Defensive rebound by E. Mudiay,89,82
4,6:09.0,,Shooting foul by K. Olynyk (drawn by E. Mudiay),89,82
4,6:09.0,,E. Mudiay makes free throw 1 of 2,89,83
4,6:09.0,,E. Mudiay misses free throw 2 of 2,89,83
4,6:07.0,Defensive rebound by H. Whiteside,,89,83
4,5:53.0,Turnover by G. Dragić (bad pass; steal by L. Kornet),,89,83
4,5:47.0,,Turnover by D. Dotson (bad pass; steal by K. Olynyk),89,83
4,5:45.0,Personal foul by M. Robinson (drawn by K. Olynyk),,89,83
4,5:34.0,Turnover by K. Olynyk (bad pass),,89,83
4,5:19.0,,L. Kornet misses 3-pt jump shot from 28 ft,89,83
4,5:17.0,Defensive rebound by H. Whiteside,,89,83
4,5:10.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Johnson),,91,83
4,5:10.0,Shooting foul by K. Knox (drawn by H. Whiteside),,91,83
4,5:10.0,H. Whiteside misses free throw 1 of 1,,91,83
4,5:08.0,,Defensive rebound by M. Robinson,91,83
4,4:57.0,,K. Knox misses 3-pt jump shot from 29 ft,91,83
4,4:55.0,Defensive rebound by H. Whiteside,,91,83
4,4:34.0,K. Olynyk misses 2-pt jump shot from 19 ft,,91,83
